"searched_zipcode","searched_lat","searched_lng","searched_address","searched_state","searched_city","searched_metro","is_gh","latitude","longitude","distance","loc_name","loc_number","url","address","cuisines","delivery_fee_raw","delivery_fee","delivery_time_raw","delivery_time","service_fee","phone","review_count","review_rating","RunDate","restaurant_tags","delivery_type"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Mel's Melts","3221738","https://www.grubhub.com/mels-melts-1306-atlantic-ave-brooklyn/3221738","1306 Atlantic Ave","[""Sandwiches""]","$1.99 delivery",1.99,"45-65",55.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73225402","-73.98831177","0.05","Han Dynasty","1240846","https://www.grubhub.com/han-dynasty-90-3rd-ave-new-york/1240846","90 3rd Ave","[""Asian"", ""Chinese""]","$1.99 delivery",1.99,"25-80",52.5,5.25,"2123908685",1389,4.24,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.733178","-73.986928","0.05","Bite 14","64402","https://www.grubhub.com/bite-14-211-e-14th-st-new-york/64402","211 E 14th St","[""American"", ""Breakfast"", ""Lunch Specials"", ""Mediterranean"", ""Sandwiches""]","$1.95 delivery",1.95,"20-25",22.5,0.00,"2126773123",1257,4.16,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Philly Fresh Cheesesteaks","3222319","https://www.grubhub.com/philly-fresh-cheesesteaks-1306-atlantic-ave-brooklyn/3222319","1306 Atlantic Ave","[""Cheesesteaks""]","$1.99 delivery",1.99,"25-45",35.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.731971003355326","-73.98818612831116","0.05","Cutlets Sandwich Co.","2253410","https://www.grubhub.com/cutlets-sandwich-co-99-3rd-ave-new-york/2253410","99 3rd Ave","[""Chicken"", ""Sandwiches""]","$1.99 delivery",1.99,"15-25",20.0,10.00,"2125186091",292,4.12,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Grilled & Cheesy ","3231304","https://www.grubhub.com/grilled--cheesy-1306-atlantic-ave-brooklyn/3231304","1306 Atlantic Ave","[""American"", ""Grill"", ""Sandwiches""]","$1.99 delivery",1.99,"30-45",37.5,5.25,"7188726299",2,3.40,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73325729","-73.98718262","0.06","Chelsea Sandwich Market","1341482","https://www.grubhub.com/chelsea-sandwich-market-200-e-14th-st-new-york/1341482","200 E 14th St","[""Bagels"", ""Bowls"", ""Healthy"", ""Sandwiches"", ""Smoothies and Juices"", ""Soup""]","$1.99 delivery",1.99,"30-45",37.5,0.00,"6466094644",13,3.63,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Mel's Melts","3231514","https://www.grubhub.com/mels-melts-1306-atlantic-ave-brooklyn/3231514","1306 Atlantic Ave","[""American"", ""Salads"", ""Sandwiches""]","$1.99 delivery",1.99,"30-45",37.5,5.25,"7188726299",5,3.43,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73325729","-73.98718262","0.06","Super Smoothie","1341003","https://www.grubhub.com/super-smoothie-200-e-14th-st-new-york/1341003","200 E 14th St","[""Salads""]","$1.99 delivery",1.99,"30-45",37.5,0.00,"6466094644",24,3.95,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Daydream Breakfast Burritos (Atlantic Ave, Brooklyn)","3232007","https://www.grubhub.com/daydream-breakfast-burritos-atlantic-ave-brooklyn-1306-atlantic-ave-brooklyn/3232007","1306 Atlantic Ave","[""Breakfast"", ""Burritos"", ""Tacos""]","$1.99 delivery",1.99,"25-40",32.5,5.25,"7188726299",1,3.33,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Don't Grill My Cheese","3221554","https://www.grubhub.com/dont-grill-my-cheese-1306-atlantic-ave-brooklyn/3221554","1306 Atlantic Ave","[""American"", ""Deli"", ""Sandwiches""]","$1.99 delivery",1.99,"15-35",25.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73325729","-73.98718262","0.06","Creative Acai Bowl","1340918","https://www.grubhub.com/creative-acai-bowl-200-e-14th-st-new-york/1340918","200 E 14th St","[""Salads"", ""Soup"", ""Wraps""]","$1.99 delivery",1.99,"30-45",37.5,0.00,"6466094644",71,4.20,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Daydream Breakfast Burritos","3222306","https://www.grubhub.com/daydream-breakfast-burritos-1306-atlantic-ave-brooklyn/3222306","1306 Atlantic Ave","[""Breakfast""]","$1.99 delivery",1.99,"30-50",40.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.67822647","-73.94944001","0.08","Beverly Hills Burger Bungalow","3221927","https://www.grubhub.com/beverly-hills-burger-bungalow-1306-atlantic-ave-brooklyn/3221927","1306 Atlantic Ave","[""Hamburgers""]","$1.99 delivery",1.99,"20-40",30.0,5.25,"7188726299",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73274993","-73.98638154","0.06","Kent's Dumpling House","1467576","https://www.grubhub.com/kents-dumpling-house-220-e-14th-st-new-york/1467576","220 E 14th St","[""Bubble Tea"", ""Chinese"", ""Grill"", ""Japanese"", ""Noodles"", ""Sandwiches"", ""Smoothies and Juices"", ""Soup""]","$1.99 delivery",1.99,"20-35",27.5,5.25,"2125291329",228,4.54,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.733073","-73.986659","0.06","Chens Express Kitchen","320835","https://www.grubhub.com/chens-express-kitchen-223-e-14th-st-frnt-a-new-york/320835","223 E 14th St Frnt A","[""Asian"", ""Chinese"", ""Lunch Specials""]","$4.99 delivery",4.99,"20-25",22.5,0.00,"2129828966",9969,4.75,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.6780281","-73.94955445","0.08","NOSTRAND AVE PIZZA","3115996","https://www.grubhub.com/nostrand-ave-pizza-563-nostrand-ave-brooklyn/3115996","563 Nostrand Ave.","[""Pasta"", ""Pizza"", ""Salads""]","$1.99 delivery",1.99,"20-30",25.0,5.25,"7184841992",8,3.67,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73294067","-73.98828125","0.06","Silky Kitchen","896628","https://www.grubhub.com/silky-kitchen-137-e-13th-st-new-york/896628","137 E 13th St","[""Asian"", ""Chinese"", ""Noodles""]","$1.99 delivery",1.99,"15-20",17.5,5.25,"6468500635",446,4.52,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.677724","-73.949787","0.09","Sweet Brooklyn Bar & Grill","583048","https://www.grubhub.com/sweet-brooklyn-bar--grill-608-nostrand-ave-brooklyn/583048","608 Nostrand Ave","[""American""]","$1.99 delivery",1.99,"40-45",42.5,5.25,"3474250111",146,3.51,"2022-04-25 07:01:11","[""BLACK_OWNED"", ""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.680233","-73.94989014","0.11","HUNTER'S SPICE GRILL","2880703","https://www.grubhub.com/hunters-spice-grill-1274-fulton-st-brooklyn/2880703","1274 Fulton St","[""Burritos"", ""Jamaican"", ""Sandwiches""]","$1.99 delivery",1.99,"25-40",32.5,5.25,"3477708021",10,3.86,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73333","-73.987645","0.06","Joe's Pizza (The Greenwich Village Institution)","279311","https://www.grubhub.com/joes-pizza-the-greenwich-village-institution-150-e-14th-st-new-york/279311","150 E 14th St","[""Italian"", ""Pizza"", ""Salads""]","$0 delivery",0.00,"35-50",42.5,0.00,"2123889474",6804,4.58,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","$0 with GH+","40.680218274441145","-73.94979086472387","0.11","99 Cent Supreme Pizza","2410502","https://www.grubhub.com/99-cent-supreme-pizza-1276-fulton-st-brooklyn/2410502","1276 Fulton St","[""Italian"", ""Pasta"", ""Pizza"", ""Sandwiches"", ""Wings""]","$1.99 delivery",1.99,"25-40",32.5,5.25,"3472952882",11,3.13,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73261642","-73.98620606","0.06","Vivi Bubble Tea","1008440","https://www.grubhub.com/vivi-bubble-tea-226-e-14th-st-new-york/1008440","226 E 14th St","[""Bubble Tea"", ""Coffee and Tea"", ""Popcorn""]","$1.99 delivery",1.99,"20-25",22.5,7.25,"2127778988",500,4.52,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.733247","-73.986561","0.07","New Red House","321115","https://www.grubhub.com/new-red-house-203-e-14th-st-new-york/321115","203 E 14th St","[""Asian"", ""Chinese"", ""Healthy"", ""Lunch Specials"", ""Thai""]","$3.99 delivery",3.99,"30-35",32.5,0.00,"2122288288",7297,4.50,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73254394","-73.98605347","0.07","Mad For Bowls ","3213129","https://www.grubhub.com/mad-for-bowls-230-east-14th-street-new-york/3213129","230 East 14th Street","[""American"", ""Bowls"", ""Fast Food""]","$1.99 delivery",1.99,"20-35",27.5,5.25,"9172615761",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73254394","-73.98605347","0.07","Mad for Chicken","3006783","https://www.grubhub.com/mad-for-chicken-230-e-14th-street-new-york/3006783","230 E 14th Street","[""Chicken"", ""Sandwiches"", ""Soup""]","$1.99 delivery",1.99,"20-30",25.0,5.25,"9172615761",17,4.10,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.7319107","-73.98626709","0.07","NYC Convenience","3082214","https://www.grubhub.com/nyc-convenience-236-e-13th-st-new-york/3082214","236 E 13th St","[""Breakfast"", ""Convenience"", ""Grocery Items"", ""Sandwiches"", ""Smoothies and Juices"", ""Snacks""]","$0 delivery",0.00,"25-30",27.5,0.00,"9176757241",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","SELF"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73186111","-73.98863221","0.08","Westside Market Grab N Go","1428867","https://www.grubhub.com/westside-market-grab-n-go-84-third-ave-new-york/1428867","84 Third Ave","[""American"", ""Chicken"", ""Dessert"", ""Salads"", ""Vegan""]","$0 delivery",0.00,"30-45",37.5,0.00,"2122538400",1,3.52,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","$0 with GH+","40.73186111","-73.98863221","0.08","Vegan Cravings","2510153","https://www.grubhub.com/vegan-cravings-84-3rd-ave-new-york/2510153","84 3rd Ave","[""Salads"", ""Sandwiches"", ""Soup"", ""Vegan""]","$0 delivery",0.00,"45-75",60.0,0.00,"2122538400",2,3.22,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","SELF"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.631958","-73.99560547","0.13","Killer Wings (New Utrecht Ave)","2736874","https://www.grubhub.com/killer-wings-new-utrecht-ave-5418-new-utrecht-ave-brooklyn/2736874","5418 New Utrecht Ave","[""Wings""]","$1.99 delivery",1.99,"15-30",22.5,5.25,"3475336310",1,3.52,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.631958","-73.99560547","0.13","Cheeky's Cheesesteaks","3222922","https://www.grubhub.com/cheekys-cheesesteaks-5418-new-utrecht-ave-brooklyn/3222922","5418 New Utrecht Ave","[""Cheesesteaks""]","$1.99 delivery",1.99,"25-45",35.0,5.25,"3475336310",2,3.22,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER"", ""VIRTUAL""]","GRUBHUB"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.631958","-73.99560547","0.13","Yamanys Deli","2636249","https://www.grubhub.com/yamanys-deli-5418-new-utrecht-ave-brooklyn/2636249","5418 New Utrecht Ave","[]","$1.99 delivery",1.99,"25-40",32.5,5.25,"3475336310",2,3.58,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.63201522","-73.99491883","0.16","Nori Bar Sushi Lounge","1728599","https://www.grubhub.com/nori-bar-sushi-lounge-5401-13th-ave-brooklyn/1728599","5401 13th Ave","[""Gluten-Free"", ""Kosher"", ""Kosher-Style"", ""Lunch Specials"", ""Poke"", ""Salads"", ""Seafood"", ""Sushi"", ""Vegan"", ""Vegetarian""]","$1.99 delivery",1.99,"30-45",37.5,5.25,"3478538888",89,3.96,"2022-04-25 07:01:11","[""PRICING_ELIGIBLE_FOR_STANDARD_ORDER"", ""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.63274383","-73.99404145","0.22","URBANA","3159382","https://www.grubhub.com/urbana-1305-53rd-st-brooklyn/3159382","1305 53rd St","[""Dessert"", ""Pasta"", ""Pizza"", ""Salads""]","$1.99 delivery",1.99,"35-65",50.0,5.25,"7184384448",2,3.58,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","$0 with GH+","40.63292312","-73.99411774","0.23","Sub Express","3239660","https://www.grubhub.com/sub-express-5217-13th-ave-brooklyn/3239660","5217 13th Ave","[""Bowls"", ""Sandwiches"", ""Soup"", ""Wraps""]","$1.99 delivery",1.99,"25-45",35.0,5.25,"7189720010",0,0.00,"2022-04-25 07:01:11","[""SUBSCRIPTION_ELIGIBLE_FOR_STANDARD_ORDER""]","GRUBHUB"
